EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY
NSE,D,46778,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25700 PUT,OP,NA,75,12/2/2025,25700,PE,5,W,N,N,N,NA
NSE,D,46779,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25750 CALL,OP,NA,75,12/2/2025,25750,CE,5,W,N,N,N,NA
NSE,D,46780,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25750 PUT,OP,NA,75,12/2/2025,25750,PE,5,W,N,N,N,NA
NSE,D,46783,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25800 CALL,OP,NA,75,12/2/2025,25800,CE,5,W,N,N,N,NA
NSE,D,46784,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25800 PUT,OP,NA,75,12/2/2025,25800,PE,5,W,N,N,N,NA
NSE,D,46785,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25850 CALL,OP,NA,75,12/2/2025,25850,CE,5,W,N,N,N,NA
NSE,D,46786,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25850 PUT,OP,NA,75,12/2/2025,25850,PE,5,W,N,N,N,NA
NSE,D,46787,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25900 CALL,OP,NA,75,12/2/2025,25900,CE,5,W,N,N,N,NA
NSE,D,46792,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25900 PUT,OP,NA,75,12/2/2025,25900,PE,5,W,N,N,N,NA
NSE,D,46793,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25950 CALL,OP,NA,75,12/2/2025,25950,CE,5,W,N,N,N,NA
NSE,D,46794,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 25950 PUT,OP,NA,75,12/2/2025,25950,PE,5,W,N,N,N,NA
NSE,D,46795,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26000 CALL,OP,NA,75,12/2/2025,26000,CE,5,W,N,N,N,NA
NSE,D,46796,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26000 PUT,OP,NA,75,12/2/2025,26000,PE,5,W,N,N,N,NA
NSE,D,46797,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26050 CALL,OP,NA,75,12/2/2025,26050,CE,5,W,N,N,N,NA
NSE,D,46798,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26050 PUT,OP,NA,75,12/2/2025,26050,PE,5,W,N,N,N,NA
NSE,D,46799,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26100 CALL,OP,NA,75,12/2/2025,26100,CE,5,W,N,N,N,NA
NSE,D,46800,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26100 PUT,OP,NA,75,12/2/2025,26100,PE,5,W,N,N,N,NA
NSE,D,46801,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26150 CALL,OP,NA,75,12/2/2025,26150,CE,5,W,N,N,N,NA
NSE,D,46802,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26150 PUT,OP,NA,75,12/2/2025,26150,PE,5,W,N,N,N,NA
NSE,D,46803,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26200 CALL,OP,NA,75,12/2/2025,26200,CE,5,W,N,N,N,NA
NSE,D,46804,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26200 PUT,OP,NA,75,12/2/2025,26200,PE,5,W,N,N,N,NA
NSE,D,46807,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26250 CALL,OP,NA,75,12/2/2025,26250,CE,5,W,N,N,N,NA
NSE,D,46808,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26250 PUT,OP,NA,75,12/2/2025,26250,PE,5,W,N,N,N,NA
NSE,D,46809,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26300 CALL,OP,NA,75,12/2/2025,26300,CE,5,W,N,N,N,NA
NSE,D,46812,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26300 PUT,OP,NA,75,12/2/2025,26300,PE,5,W,N,N,N,NA
NSE,D,46813,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26350 CALL,OP,NA,75,12/2/2025,26350,CE,5,W,N,N,N,NA
NSE,D,46817,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26350 PUT,OP,NA,75,12/2/2025,26350,PE,5,W,N,N,N,NA
NSE,D,46818,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26400 CALL,OP,NA,75,12/2/2025,26400,CE,5,W,N,N,N,NA
NSE,D,46819,NA,OPTIDX,26000,NIFTY,NIFTY 02 DEC 26400 PUT,OP,NA,75,12/2/2025,26400,PE,5,W,N,N,N,NA
