EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY
NSE,D,51266,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 56800 CALL,OP,NA,35,12/30/2025,56800,CE,5,M,N,N,N,NA
NSE,D,51267,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 56800 PUT,OP,NA,35,12/30/2025,56800,PE,5,M,N,N,N,NA
NSE,D,51276,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 56900 CALL,OP,NA,35,12/30/2025,56900,CE,5,M,N,N,N,NA
NSE,D,51277,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 56900 PUT,OP,NA,35,12/30/2025,56900,PE,5,M,N,N,N,NA
NSE,D,51278,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57100 CALL,OP,NA,35,12/30/2025,57100,CE,5,M,N,N,N,NA
NSE,D,51279,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57100 PUT,OP,NA,35,12/30/2025,57100,PE,5,M,N,N,N,NA
NSE,D,51280,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57200 CALL,OP,NA,35,12/30/2025,57200,CE,5,M,N,N,N,NA
NSE,D,51281,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57200 PUT,OP,NA,35,12/30/2025,57200,PE,5,M,N,N,N,NA
NSE,D,51282,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57300 CALL,OP,NA,35,12/30/2025,57300,CE,5,M,N,N,N,NA
NSE,D,51283,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57300 PUT,OP,NA,35,12/30/2025,57300,PE,5,M,N,N,N,NA
NSE,D,51294,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57400 CALL,OP,NA,35,12/30/2025,57400,CE,5,M,N,N,N,NA
NSE,D,51295,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57400 PUT,OP,NA,35,12/30/2025,57400,PE,5,M,N,N,N,NA
NSE,D,51302,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57500 CALL,OP,NA,35,12/30/2025,57500,CE,5,M,N,N,N,NA
NSE,D,51303,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57500 PUT,OP,NA,35,12/30/2025,57500,PE,5,M,N,N,N,NA
NSE,D,51310,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY 30 DEC 57600 CALL,OP,NA,35,12/30/2025,57600,CE,5,M,N,N,N,NA
